a,r,b
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'cost = [10,15,20]', 'output': '15', 'explanation': 'You will start at index 1.\n- Pay 15 and climb two steps to reach the top.\nThe total cost is 15.'}, {'id': 2, 'input': 'cost = [1,100,1,1,1,100,1,1,100,1]', 'output': '6', 'explanation': 'You will start at index 0.\n- Pay 1 and climb two steps to reach index 2.\n- Pay 1 and climb two steps to reach index 4.\n- Pay 1 and climb two steps to reach index 6.\n- Pay 1 and climb one step to reach index 7.\n- Pay 1 and climb two steps to reach index 9.\n- Pay 1 and climb one step to reach the top.\nThe total cost is 6.'}], topics: [Dynamic Programming, Array], problem_statement: You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps.

You can either start from the step with index 0, or the step with index 1.

Return the minimum cost to reach the top of the floor., title: Min Cost Climbing Stairs, constraints: [2 <= cost.length <= 1000, 0 <= cost[i] <= 999]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'rowIndex = 3', 'output': '[1,3,3,1]'}, {'id': 2, 'input': 'rowIndex = 0', 'output': '[1]'}, {'id': 3, 'input': 'rowIndex = 1', 'output': '[1,1]'}], topics: [Array, Dynamic Programming], problem_statement: Given an integer rowIndex, return the rowIndexth (0-indexed) row of the Pascal's triangle.

In Pascal's triangle, each number is the sum of the two numbers directly above it., title: Pascal's Triangle II, constraints: [0 <= rowIndex <= 33]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'lists = [[1,4,5],[1,3,4],[2,6]]', 'output': '[1,1,2,3,4,4,5,6]', 'explanation': 'The linked-lists are:\n[\n  1->4->5,\n  1->3->4,\n  2->6\n]\nmerging them into one sorted linked list:\n1->1->2->3->4->4->5->6'}, {'id': 2, 'input': 'lists = []', 'output': '[]', 'explanation': None}, {'id': 3, 'input': 'lists = [[]]', 'output': '[]', 'explanation': None}], topics: [Linked List], problem_statement: You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it., title: Merge k Sorted Lists, constraints: [k == lists.length, 0 <= k <= 10^4, 0 <= lists[i].length <= 500, -10^4 <= lists[i][j] <= 10^4, lists[i] is sorted in ascending order., The sum of lists[i].length will not exceed 10^4.]})",[:BELONGS_TO_TOPIC],(:Topic {name: Linked List})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'lists = [[1,4,5],[1,3,4],[2,6]]', 'output': '[1,1,2,3,4,4,5,6]', 'explanation': 'The linked-lists are:\n[\n  1->4->5,\n  1->3->4,\n  2->6\n]\nmerging them into one sorted linked list:\n1->1->2->3->4->4->5->6'}, {'id': 2, 'input': 'lists = []', 'output': '[]', 'explanation': None}, {'id': 3, 'input': 'lists = [[]]', 'output': '[]', 'explanation': None}], topics: [Linked List], problem_statement: You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it., title: Merge k Sorted Lists, constraints: [k == lists.length, 0 <= k <= 10^4, 0 <= lists[i].length <= 500, -10^4 <= lists[i][j] <= 10^4, lists[i] is sorted in ascending order., The sum of lists[i].length will not exceed 10^4.]})",[:HAS_DIFFICULTY],(:Difficulty {level: Hard})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'lists = [[1,4,5],[1,3,4],[2,6]]', 'output': '[1,1,2,3,4,4,5,6]', 'explanation': 'The linked-lists are:\n[\n  1->4->5,\n  1->3->4,\n  2->6\n]\nmerging them into one sorted linked list:\n1->1->2->3->4->4->5->6'}, {'id': 2, 'input': 'lists = []', 'output': '[]', 'explanation': None}, {'id': 3, 'input': 'lists = [[]]', 'output': '[]', 'explanation': None}], topics: [Linked List], problem_statement: You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it., title: Merge k Sorted Lists, constraints: [k == lists.length, 0 <= k <= 10^4, 0 <= lists[i].length <= 500, -10^4 <= lists[i][j] <= 10^4, lists[i] is sorted in ascending order., The sum of lists[i].length will not exceed 10^4.]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    ListNode *mergeTwoLists(ListNode* l1, ListNode* l2) {
        if (NULL == l1) return l2;
        else if (NULL == l2) return l1;
        
        if (l1->val <= l2->val) {
            l1->next = mergeTwoLists(l1->next, l2);
            return l1;
        }
        
        else {
            l2->next = mergeTwoLists(l1, l2->next);
            return l2;
        }
    }
    
    ListNode *mergeKLists(vector<ListNode *> &lists) {
        if (lists.empty()) return NULL;
        int len = lists.size();
        
        while (len > 1) {
            for (int i = 0; i < len / 2; ++i) {
                lists[i] = mergeTwoLists(lists[i], lists[len - 1 - i]);
            }
            
            len = (len + 1) / 2;
        }
        
        return lists.front();
    }
};, language: C++, approach: Divide and Conquer (Merge in Pairs)})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'lists = [[1,4,5],[1,3,4],[2,6]]', 'output': '[1,1,2,3,4,4,5,6]', 'explanation': 'The linked-lists are:\n[\n  1->4->5,\n  1->3->4,\n  2->6\n]\nmerging them into one sorted linked list:\n1->1->2->3->4->4->5->6'}, {'id': 2, 'input': 'lists = []', 'output': '[]', 'explanation': None}, {'id': 3, 'input': 'lists = [[]]', 'output': '[]', 'explanation': None}], topics: [Linked List], problem_statement: You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it., title: Merge k Sorted Lists, constraints: [k == lists.length, 0 <= k <= 10^4, 0 <= lists[i].length <= 500, -10^4 <= lists[i][j] <= 10^4, lists[i] is sorted in ascending order., The sum of lists[i].length will not exceed 10^4.]})",[:SIMILAR_TOPIC {shared_topic: Linked List}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [1,0,1]', 'output': '5', 'explanation': '(101) in base 2 = (5) in base 10'}, {'id': 2, 'input': 'head = [0]', 'output': '0', 'explanation': None}], topics: [Linked List, Bit Manipulation, Math], problem_statement: Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.

Return the decimal value of the number in the linked list.

The most significant bit is at the head of the linked list., title: Convert Binary Number in a Linked List to Integer, constraints: [The Linked List is not empty., Number of nodes will not exceed 30., Each node's value is either 0 or 1.]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'lists = [[1,4,5],[1,3,4],[2,6]]', 'output': '[1,1,2,3,4,4,5,6]', 'explanation': 'The linked-lists are:\n[\n  1->4->5,\n  1->3->4,\n  2->6\n]\nmerging them into one sorted linked list:\n1->1->2->3->4->4->5->6'}, {'id': 2, 'input': 'lists = []', 'output': '[]', 'explanation': None}, {'id': 3, 'input': 'lists = [[]]', 'output': '[]', 'explanation': None}], topics: [Linked List], problem_statement: You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it., title: Merge k Sorted Lists, constraints: [k == lists.length, 0 <= k <= 10^4, 0 <= lists[i].length <= 500, -10^4 <= lists[i][j] <= 10^4, lists[i] is sorted in ascending order., The sum of lists[i].length will not exceed 10^4.]})",[:SIMILAR_TOPIC {shared_topic: Linked List}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [4,5,1,9], node = 5', 'output': '[4,1,9]', 'explanation': 'You are given the second node with value 5, the linked list should become 4 -> 1 -> 9 after calling your function.'}, {'id': 2, 'input': 'head = [4,5,1,9], node = 1', 'output': '[4,5,9]', 'explanation': 'You are given the third node with value 1, the linked list should become 4 -> 5 -> 9 after calling your function.'}], topics: [Linked List], problem_statement: There is a singly-linked list head and we want to delete a node node in it.

You are given the node to be deleted node. You will not be given access to the first node of head.

All the values of the linked list are unique, and it is guaranteed that the given node node is not the last node in the linked list.

Delete the given node. Note that by deleting the node, we do not mean removing it from memory. We mean:
- The value of the given node should not exist in the linked list.
- The number of nodes in the linked list should decrease by one.
- All the values before node should be in the same order.
- All the values after node should be in the same order., title: Delete Node in a Linked List, constraints: [The number of the nodes in the given list is in the range [2, 1000]., -1000 <= Node.val <= 1000, The value of each node in the list is unique., The node to be deleted is in the list and is not a tail node.]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'lists = [[1,4,5],[1,3,4],[2,6]]', 'output': '[1,1,2,3,4,4,5,6]', 'explanation': 'The linked-lists are:\n[\n  1->4->5,\n  1->3->4,\n  2->6\n]\nmerging them into one sorted linked list:\n1->1->2->3->4->4->5->6'}, {'id': 2, 'input': 'lists = []', 'output': '[]', 'explanation': None}, {'id': 3, 'input': 'lists = [[]]', 'output': '[]', 'explanation': None}], topics: [Linked List], problem_statement: You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it., title: Merge k Sorted Lists, constraints: [k == lists.length, 0 <= k <= 10^4, 0 <= lists[i].length <= 500, -10^4 <= lists[i][j] <= 10^4, lists[i] is sorted in ascending order., The sum of lists[i].length will not exceed 10^4.]})",[:SIMILAR_TOPIC {shared_topic: Linked List}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [3,2,0,-4], pos = 1', 'output': 'true', 'explanation': 'There is a cycle in the linked list, where the tail connects to the 1st node (0-indexed).'}, {'id': 2, 'input': 'head = [1,2], pos = 0', 'output': 'true', 'explanation': 'There is a cycle in the linked list, where the tail connects to the 0th node.'}, {'id': 3, 'input': 'head = [1], pos = -1', 'output': 'false', 'explanation': 'There is no cycle in the linked list.'}], topics: [Linked List, Two Pointers, Hash Table], problem_statement: Given head, the head of a linked list, determine if the linked list has a cycle in it.

There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter.

Return true if there is a cycle in the linked list. Otherwise, return false., title: Linked List Cycle, constraints: [The number of the nodes in the list is in the range [0, 10^4]., -10^5 <= Node.val <= 10^5, pos is -1 or a valid index in the linked-list.]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 's = ""ADOBECODEBANC"", t = ""ABC""', 'output': '""BANC""', 'explanation': 'The minimum window substring ""BANC"" includes \'A\', \'B\', and \'C\' from string t.'}, {'id': 2, 'input': 's = ""a"", t = ""a""', 'output': '""a""', 'explanation': 'The entire string s is the minimum window.'}, {'id': 3, 'input': 's = ""a"", t = ""aa""', 'output': '""""', 'explanation': ""Both 'a's from t must be included in the window.\nSince the largest window of s only has one 'a', return empty string.""}], topics: [String], problem_statement: Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """".

The testcases will be generated such that the answer is unique., title: Minimum Window Substring, constraints: [m == s.length, n == t.length, 1 <= m, n <= 10^5, s and t consist of uppercase and lowercase English letters.]})",[:BELONGS_TO_TOPIC],(:Topic {name: String})
